Region ,CharterApplicationId ,Year ,CouncilNumber ,SequenceNumber ,Timestamp  ,DateSubmitted ,PmpOverallPoints ,PmpOverallLevel ,LevelOrdeal2021YouthFinal ,LevelOrdeal2021YoungAdultFinal ,LevelOrdeal2021AdultFinal ,LevelBrotherhood2021YouthFinal ,LevelBrotherhood2021YoungAdultFinal ,LevelBrotherhood2021AdultFinal ,LevelVigil2021YouthFinal ,LevelVigil2021YoungAdultFinal ,LevelVigil2021AdultFinal ,InductedOrdeal2021YouthFinal ,InductedOrdeal2021AdultFinal ,InductedBrotherhood2021YouthFinal ,InductedBrotherhood2021AdultFinal ,InductedVigil2021YouthFinal ,InductedVigil2021AdultFinal ,ElectedCurrent2021YouthFinal ,ElectedCurrent2021AdultFinal ,ElectedPrevious2021YouthFinal ,ElectedPrevious2021AdultFinal ,UnitCount2021Final ,Item1ElectionsConducted2021 ,Item1ElectionsNoEligibleScouts2021 ,Item1VisitsConducted2021 ,Item3ActivatedYouth2021 ,Item8CapitalContributionsCash ,Item8CapitalContributionsMaterial ,Item8EndowmentContributions ,Item8FosContributions ,Item9ServiceHours2021
G      ,                3071 ,2021 ,           41 ,             1 ,12/11/2021 ,12/11/2021    ,              23 ,High Performing ,                       26 ,                             3 ,                       10 ,                            18 ,                                  5 ,                            19 ,                       0 ,                            4 ,                      31 ,                          14 ,                           1 ,                               18 ,                                3 ,                          2 ,                          3 ,                          28 ,                           2 ,                            0 ,                            0 ,                36 ,                         28 ,                                18 ,                      10 ,                      8 ,0.00                          ,25.00                             ,"1,000.00"                  ,0.00                  ,                 1572
G      ,                3072 ,2021 ,           51 ,             1 ,12/11/2021 ,12/10/2021    ,              14 ,Thriving        ,                       70 ,                            11 ,                       24 ,                            20 ,                                 25 ,                            59 ,                       0 ,                           12 ,                      81 ,                          26 ,                           3 ,                                6 ,                                3 ,                          4 ,                          3 ,                          22 ,                           4 ,                            0 ,                            0 ,               112 ,                         12 ,                                 0 ,                       2 ,                      6 ,0.00                          ,0.00                              ,"1,000.00"                  ,"5,000.00"            ,                 1031
G      ,                3073 ,2021 ,          178 ,             1 ,12/11/2021 ,12/10/2021    ,              24 ,High Performing ,                       57 ,                             2 ,                       17 ,                            18 ,                                 11 ,                            45 ,                       1 ,                            7 ,                      35 ,                          40 ,                           2 ,                               11 ,                                5 ,                          5 ,                          1 ,                          29 ,                           1 ,                           11 ,                            0 ,                29 ,                         26 ,                                 9 ,                      17 ,                     13 ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,                 2325
G      ,                3074 ,2021 ,          315 ,             1 ,12/11/2021 ,12/10/2021    ,              18 ,Thriving        ,                       60 ,                            10 ,                       28 ,                            13 ,                                  7 ,                            34 ,                       0 ,                            2 ,                      21 ,                          49 ,                           9 ,                                7 ,                                5 ,                          1 ,                          0 ,                          40 ,                           7 ,                            0 ,                            0 ,                88 ,                         65 ,                                12 ,                      35 ,                      1 ,"2,000.00"                    ,"1,000.00"                        ,0.00                        ,"1,000.00"            ,                 1440
G      ,                3076 ,2021 ,          562 ,             1 ,12/11/2021 ,12/10/2021    ,              24 ,High Performing ,                       31 ,                             5 ,                       18 ,                            31 ,                                  4 ,                            34 ,                       1 ,                            4 ,                      30 ,                          25 ,                           9 ,                               19 ,                                6 ,                          2 ,                          2 ,                          35 ,                          10 ,                            0 ,                            0 ,                47 ,                         35 ,                                12 ,                      12 ,                     13 ,0.00                          ,0.00                              ,0.00                        ,500.00                ,                 1752
G      ,                3077 ,2021 ,          576 ,             1 ,12/11/2021 ,12/11/2021    ,              22 ,High Performing ,                      752 ,                           110 ,                      343 ,                           284 ,                                138 ,                           439 ,                      15 ,                           26 ,                     243 ,                         537 ,                         118 ,                              194 ,                               86 ,                         19 ,                         17 ,                         588 ,                         106 ,                            0 ,                            0 ,               385 ,                        253 ,                                94 ,                     162 ,                     95 ,"16,450.00"                   ,"54,093.00"                       ,"5,000.00"                  ,0.00                  ,                26806
G      ,                3078 ,2021 ,          662 ,             1 ,12/11/2021 ,12/10/2021    ,              14 ,Thriving        ,                      396 ,                            42 ,                      177 ,                           110 ,                                 52 ,                           170 ,                       1 ,                           19 ,                     113 ,                         362 ,                          91 ,                               77 ,                               33 ,                          5 ,                          3 ,                         356 ,                          75 ,                            0 ,                            0 ,               234 ,                        205 ,                                74 ,                     131 ,                     18 ,"10,000.00"                   ,0.00                              ,"4,000.00"                  ,0.00                  ,                 6441
G      ,                3081 ,2021 ,          564 ,             1 ,12/12/2021 ,12/12/2021    ,              14 ,Thriving        ,                      462 ,                           128 ,                      231 ,                           165 ,                                 91 ,                           273 ,                       5 ,                           14 ,                     147 ,                         209 ,                          68 ,                               66 ,                               28 ,                          7 ,                          4 ,                         244 ,                          69 ,                          102 ,                           27 ,               173 ,                         95 ,                                25 ,                      95 ,                     24 ,"22,000.00"                   ,"5,000.00"                        ,"3,000.00"                  ,"3,500.00"            ,                 5030
G      ,                3082 ,2021 ,          697 ,             1 ,12/12/2021 ,12/11/2021    ,              20 ,Thriving        ,                       46 ,                             6 ,                       14 ,                            25 ,                                 11 ,                            36 ,                       2 ,                            6 ,                     104 ,                          30 ,                           3 ,                               14 ,                                0 ,                          7 ,                          5 ,                          38 ,                           3 ,                            0 ,                            0 ,                57 ,                         54 ,                                10 ,                      26 ,                     19 ,0.00                          ,"8,744.89"                        ,0.00                        ,500.00                ,                 2331
G      ,                3083 ,2021 ,          192 ,             1 ,12/13/2021 ,12/13/2021    ,              19 ,Thriving        ,                       46 ,                             3 ,                       15 ,                            15 ,                                 11 ,                            16 ,                       0 ,                            4 ,                      24 ,                          40 ,                           7 ,                               14 ,                                1 ,                          0 ,                          0 ,                          43 ,                           6 ,                            8 ,                            0 ,                50 ,                         55 ,                                 0 ,                      55 ,                      6 ,0.00                          ,0.00                              ,0.00                        ,938.00                ,                  833
